title,genres,keywords,spoken_languages,overview,production_countries
Mean Machine,"Comedy, Drama","prison, sport, amateur soccer, soccer coach","English, Italiano",Disgraced ex-England captain (Danny 'Mean Machine' Meehan) is thrown in jail for assaulting two police officers. He keeps his head down and has the opportunity to forget everything and change the live,"United Kingdom, United States of America"
Exiled,"Action, Crime, Thriller",,广州话 / 廣州話,"A friendship is formed between an ex-gangster, and two groups of hitmen - those who want to protect him and those who were sent to kill him.",Hong Kong
Blackthorn,"Adventure, Action, Western","robbery, miner, treachery, sundance kid, native peoples, butch cassidy","Español, English","In Bolivia, Butch Cassidy (now calling himself James Blackthorne) pines for one last sight of home, an adventure that aligns him with a young robber and makes the duo a target for gangs and lawmen ali","Bolivia, France, Spain, United Kingdom"
Lilya 4-ever,"Crime, Drama","suicide, sex, sweden, underground, nightclub, nudity, escape, poverty, prostitution, violence, disturbing","Pусский, svenska, English","Lilya lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilya hangs out with her friends, Natasha and Volodya, who is ","Denmark, Sweden"
After.Life,"Drama, Horror, Mystery, Thriller","wheelchair, nightmare, funeral, injection, crying, casket, shovel, lily, argument, crucifix, woman director",English,"A young woman caught between life and death... and a funeral director who appears to have the gift of transitioning the dead, but might just be intent on burying her alive.",United States of America
Fugly,"Comedy, Drama, Thriller",,"हिन्दी, English","It is a story of 4 friends - Dev, Gaurav, Aditya &amp; Devi. The cast is young &amp; fresh. They are at the cusp of their lives - The college has just about finished, but career path is yet to be set.",India
One Flew Over the Cuckoo's Nest,Drama,"individual, rebel, self-destruction, wheelchair, lunatic asylum, dying and death, rage and hate, freedom, insanity, basic rights and human rights, psychiatrist",English,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildre",United States of America
R.L. Stine's Monsterville: The Cabinet of Souls,"Comedy, Horror",,English,Teenage friends must resist the spell of an evil showman staging a house of horrors show in their small town.,United States of America
Silent Movie,Comedy,"screenplay, stuntman, slapstick, mime, hollywood, silent film",Français,"Aspiring filmmakers Mel Funn, Marty Eggs and Dom Bell go to a financially troubled studio with an idea for a silent movie. In an effort to make the movie more marketable, they attempt to recruit a num",United States of America
Airlift,"Thriller, Action, Drama, History","evacuation, war, based on true story, iraq war","العربية, हिन्दी, ","When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",India
Anne of Green Gables,"Drama, Family","based on novel, brother sister relationship, canada, village, love, school, miniseries, best friend, orphan, historical, kids, redhead girl",English,"At the turn of the century on Prince Edward Island, Matthew Cuthbert and his sister Marilla decide to take on an orphan boy as help for their farm. But they get an unexpected jolt when they're mistake",United States of America
Falcon Rising,"Adventure, Action","yakuza, marine, fighting",English,"Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead.",United States of America
The Sweeney,"Action, Drama, Crime","british, based on tv series","Srpski, English","Based on the '70s UK TV show, The Sweeney is an action-packed British police thriller from the director of Football Factory. Jack Regan (Ray Winstone), a hardened cop who doesn’t play by the rules, is",United Kingdom
Sexy Beast,"Crime, Drama, Thriller","spain, sex, nudity, psychopath, murder, heist, money, gangster, violence, criminal, retired, hunting, safecracker, brutal, leisure",English,"Gary is a former gangster who has made a modest amount of money from his criminal career. Happy to put his life of crime behind him, he has retired with his wife Deedee to the sunny bliss of rural Spa","Spain, United Kingdom"
Easy Money,"Drama, Thriller, Crime",consignment,"Deutsch, English, Español, Srpski, svenska","A three-tiered story centered around drugs and organized crime, and focused on a young man who becomes a runner for a coke dealer.","Denmark, Sweden, Germany"
Whale Rider,"Drama, Family","ocean, loss of mother, tradition, loss of brother, becoming an adult, role of women, empowerment, new zealand, maori tradition, chief, grandfather granddaughter relationship, modern society, whale, patriarch, stick fighting, canoe, patriarchy, loss of wife, woman director","English, ","On the east coast of New Zealand, the Whangara people believe their presence there dates back a thousand years or more to a single ancestor, Paikea, who escaped death when his canoe capsized by riding",New Zealand
Paa,"Drama, Family, Foreign",,हिन्दी,"He suffers from a progeria like syndrome. Mentally he is 13 but physically he looks 5 times older. In spite of his condition, Auro is a very happy boy. He lives with his mother Vidya, who is a gynaeco",India
Cargo,"Thriller, Mystery, Science Fiction","space colony, space travel, simulated reality , spaceship, suspense, cargo ship, suspended animation, loneliness in space","Français, Deutsch",The story of CARGO takes place on rusty space-freighter KASSANDRA on its way to Station 42. The young medic LAURA is the only one awake on board while the rest of the crew lies frozen in hibernation s,Switzerland
High School Musical,"Comedy, Drama, Family, Music, TV Movie","becoming an adult, musical, music, high school, school performance, high school sports, jock, teenager, clique, theater, peer pressure, teenage romance",English,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when ",United States of America
Love and Death on Long Island,"Drama, Romance, Foreign","obsession, love, obsessive love, actor",English,"Giles De'Ath is a widower who doesn't like anything modern. He goes to movies and falls in love with film star, Ronnie Bostock. He then investigates everything about the movie and Ronnie. After that h","Canada, United Kingdom"
Night Watch,"Fantasy, Action, Thriller","witch, subway, fight, airplane, owl, todfeind, guard, blood, moscow","Deutsch, Pусский","Among normal humans live the ""Others"" possessing various supernatural powers. They are divided up into the forces of light and the forces of the dark, who signed a truce several centuries ago to end a",Russia
