title,genres,keywords,original_language,production_countries,spoken_languages
Timber Falls,"Horror, Thriller","fanatic, forest, west virginia, suspense",en,United States of America,English
Singin' in the Rain,"Comedy, Music, Romance","fan, morning, musical, talkie, partner, movie in movie, broadway, audience, chorus girl, diction coach, pearl necklace, flapper",en,United States of America,English
"Fat, Sick & Nearly Dead",Documentary,"diet, fasting, vegetable juice, australian man",en,"United States of America, Australia",English
A Haunted House,"Comedy, Horror","horror spoof, found footage, duringcreditsstinger",en,United States of America,English
2016: Obama's America,Documentary,,en,United States of America,English
That Thing You Do!,"Comedy, Drama","pop star, musical, record label, music, music band",en,United States of America,English
Halloween III: Season of the Witch,"Horror, Mystery, Science Fiction","commercial, factory, gas station, curfew, mask, halloween, hospital, doctor, death, surveillance camera, stonehenge",en,United States of America,English
Escape from the Planet of the Apes,"Action, Science Fiction","spacecraft, pacifism, human being, cage, dystopia, politician, chimpanzee, tease, caving",en,United States of America,English
Hud,"Action, Drama, Western","alcoholism, ranchers, rancher, rebellious youth",en,United States of America,English
Kevin Hart: Let Me Explain,"Comedy, Documentary","stand-up comedy, manhattan, new york city, madison square garden, duringcreditsstinger",en,United States of America,English
My Own Private Idaho,"Drama, Romance","individual, gay, father son relationship, rome, robbery, treasure, portland, cocaine, generations confilct, idaho, hustler, german, seattle, narkolepsy, pink bathrobe, prostitution, gay sex, incest, lgbt, road movie",en,United States of America,English
Garden State,"Comedy, Drama, Romance","new jersey, paraplegic, loss of mother, expensive restaurant, pop culture, ecstasy, strangeness, epilepsy, lethargy, answering machine, difficult childhood, unsociability, single, marijuana, los angeles, psychiatrist, grave digger",en,United States of America,English
Before Sunrise,"Drama, Romance","dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna",en,"Austria, Switzerland, United States of America","English, German, French"
Evil Words,"Horror, Mystery, Thriller","suspense, psychopathic killer, hopital",fr,Canada,French
Jesus' Son,"Comedy, Drama, Romance","drug abuse, magic mushroom, dark comedy, independent film, drug, psychedelics, heroin addict, woman director",en,"Canada, United States of America",English
Saving Face,"Comedy, Romance","lesbian relationship, lgbt, woman director",en,United States of America,English
Brick Lane,Drama,"arranged marriage, independent film, bangladesh, september 11 2001, woman director",en,"United Kingdom, India",
Robot & Frank,"Science Fiction, Comedy, Drama, Crime","friendship, robot, senior citizen, cat thief",en,United States of America,English
My Life Without Me,"Drama, Romance","farewell, responsability, dying and death, night shift, daughter, secret love, mother daughter relationship, woman director",en,"Canada, Spain",English
The Spectacular Now,"Comedy, Drama, Romance","alcoholism, coming of age, teenager, high school student, based on young adult novel",en,United States of America,English
Religulous,"Comedy, Documentary","muslim, museum, jew, evidence, rabbi, interview, christian, faith, atheist, chapel, religious, catholic, evolution, trucker, mormon, skeptic, creationism, aftercreditsstinger",en,United States of America,"English, Spanish"
Fuel,"Documentary, Drama","energy policy, consumption, automobile industry, independent film, nature",en,United States of America,English
Valley of the Heart's Delight,Drama,,en,,English
Eye of the Dolphin,Drama,"dolphin, island, research, tourist, town",en,United States of America,English
8: The Mormon Proposition,Documentary,independent film,en,,English
The Other End of the Line,"Comedy, Romance","indian lead, call center, romantic comedy",en,"India, United Kingdom, United States of America",English
Anatomy,"Horror, Thriller","butterfly, dissection, scalpel, medical school",de,Germany,"German, Latin"
Sleep Dealer,"Drama, Science Fiction, Thriller","virtual reality, dystopia, moral conflict, computer, loneliness, water shortage, teacher",en,"Mexico, United States of America","English, Spanish"
Super,"Comedy, Action, Drama","bomb, gun, drug dealer, costume, comic book, party, superhero, dark comedy, gore, blood, comic book shop, comic book collector, dinner, violence, police officer, cosplay, duringcreditsstinger",en,United States of America,English
Christmas Mail,"Comedy, Family",,en,United States of America,English
Stung,"Comedy, Horror",giant insect,de,"United States of America, Germany",English
Antibirth,Horror,"drug abuse, experiment, television, conspiracy, alien abduction, prostitution, pregnancy, new species of human, side effects, narcotic abuse",en,United States of America,English
Get on the Bus,Drama,"washington d.c., bus, march",en,United States of America,English
Thr3e,"Drama, Horror, Thriller",,en,"Poland, United States of America","English, German"
Idiocracy,"Adventure, Comedy, Science Fiction","prostitute, capitalism, usa president, arena, congress, future, human experimentation, dystopia, army, stupidity, hibernation, dark comedy, social satire, brainwashing, surveillance, u.s. congress, dystopic future, mass media",en,United States of America,English
The Rise of the Krays,Crime,,en,United Kingdom,English
This Is England,"Drama, Crime","holiday, skinhead, england, vandalism, independent film, gang, racism, summer, youth, violence, drug, unemployment, xenophobia, culture",en,United Kingdom,English
U.F.O.,"Action, Adventure, Science Fiction","impostor, alien invasion, military, partying",en,United Kingdom,"English, French"
Bathing Beauty,"Comedy, Music",,en,United States of America,"English, Spanish, French"
Go for It!,"Drama, Family","dancing, chicago, woman director",en,United States of America,English
"Dancer, Texas Pop. 81","Comedy, Drama, Family","small town, texas",en,United States of America,English
Show Boat,"Music, Romance","musical, grandmother granddaughter relationship, interracial relationship, reconciliation, riverboat, showboat, miscegenation, paddlewheel boat",en,United States of America,English
Redemption Road,Drama,,en,,English
The Calling,Thriller,series of murders,en,"Canada, United States of America",English
The Brave Little Toaster,"Fantasy, Adventure, Animation, Comedy, Family, Music","growing up, coming of age, lost, journey, personification, inanimate objects coming to life, toaster",en,United States of America,"Dutch, English, Polski"
Fantasia,"Animation, Family, Music","orchestra, classical music, musical segments",en,United States of America,English
8 Days,"Thriller, Drama","christian film, sex trafficking",en,United States of America,English
Friday the 13th Part III,"Horror, Thriller","lake, summer camp, murder, serial killer, slasher, summer, jason voorhees, one by one, friday the thirteenth",en,United States of America,English
Friday the 13th: A New Beginning,"Horror, Thriller","mask, psychology, serial killer, hospital, teenager, series of murders",en,United States of America,English
The Last Sin Eater,Drama,"christianity, appalachia, conversion, independent film",en,United States of America,"English, Portugues"
Do You Believe?,"Fantasy, Drama",christian,en,United States of America,English
Impact Point,"Thriller, Romance",,en,United States of America,English
The Valley of Decision,Drama,,en,United States of America,English
Eden,"Thriller, Drama","island, airplane, survival, soccer, crash, team",en,"Malaysia, Spain, United States of America",English
Chicken Tikka Masala,"Comedy, Romance, Foreign","coming out, arranged marriage, gay relationship",en,United Kingdom,English
There's Always Woodstock,"Romance, Comedy, Music",woman director,en,United States of America,English
Jack Brooks: Monster Slayer,"Action, Comedy, Horror","camping, vomit, demon, science",en,Canada,English
The Best Years of Our Lives,"Drama, History, Romance","usa, post traumatic stress disorder, war veteran, world war ii, rehabilitation, bodily disabled person",en,United States of America,English
Bully,"Crime, Drama","florida, striptease, homosexuality, independent film, best friend, falling in love, group of friends",en,"United Kingdom, United States of America, France",English
Elling,"Comedy, Drama",mentally disabled,en,Norway,Norsk
Mi America,"Drama, Crime","new york state, hate crime",en,United States of America,"Spanish, English"
[REC],"Horror, Mystery","terror, obsession, camcorder, firemen, religion and supernatural, reality tv, bite, cinematographer, attempt to escape, lodger, live-reportage, found footage",es,Spain,Spanish
Lies in Plain Sight,"Drama, Mystery, Thriller","suicide, family secrets, blind, woman director",en,,English
Sharkskin,,,en,,
Containment,"Thriller, Horror, Science Fiction",,en,United Kingdom,English
The Timber,"Adventure, Drama, Western",,de,United States of America,English
From Russia with Love,"Action, Thriller, Adventure","venice, london england, terror, england, assassination, spy, assassin, istanbul, russia, secret mission, secret organization, secret intelligence service, kgb, orient express, zagreb, gondola, phantom, villain, duringcreditsstinger",en,United Kingdom,"English, Turkce, Romana"
The Toxic Avenger Part II,"Comedy, Horror, Action","japan, new jersey, sequel, superhero, gore, spoof, cult film",en,United States of America,English
Sleeper,"Comedy, Romance, Science Fiction","sex, revolution, future, dystopia, government, control, satire, independent film, robot, tyranny, cyrogenics, anarchic comedy",en,United States of America,English
